Level,Solver,Heuristic,Time_elapsed,Memory_MB,Thinking_steps,Solution_steps
1,aStarManhattan,Manhattan,0.7334,1.15,708,18
1,breadthFirstSearch,N/A,0.6711,0.58,703,18
1,GreedyBestFirstManhattan,Manhattan,0.0358,0.03,47,18
1,ida_star_manhattan,Manhattan,1.6691,0.24,2322,20
1,depthFirstSearch,N/A,2.6053,1.12,1506,18
1,mcts_manhattan,Manhattan,1.4109,0.02,2455,22
1,mcts_hungarian,Hungarian,2.8624,17.38,2867,20
1,ida_star_hungarian,Hungarian,1.6310,0.32,2138,20
1,GreedyBestFirsthungarian,Hungarian,0.0405,0.02,51,18
1,breadthFirstSearch,N/A,0.7251,0.63,703,18
1,aStarHungarian,Hungarian,0.6340,0.57,628,18
1,depthFirstSearch,N/A,2.4258,1.12,1506,18
1,GreedyBestFirstManhattan,Manhattan,0.0412,0.12,59,18
1,ida_star_manhattan,Manhattan,1.3898,0.63,2322,20
1,mcts_manhattan,Manhattan,0.3376,0.02,795,18
1,breadthFirstSearch,N/A,0.5578,0.64,703,18
1,aStarManhattan,Manhattan,0.5642,0.63,740,18
1,depthFirstSearch,N/A,1.9548,1.12,1506,18
2,GreedyBestFirstManhattan,Manhattan,0.0783,0.05,101,30
2,ida_star_manhattan,Manhattan,1.4879,0.08,1800,34
2,mcts_manhattan,Manhattan,4.1910,0.02,11527,42
2,breadthFirstSearch,N/A,0.1400,0.05,166,30
2,aStarManhattan,Manhattan,0.1360,0.05,159,30
2,depthFirstSearch,N/A,0.0956,0.04,107,30
6,GreedyBestFirstManhattan,Manhattan,8.2154,7.86,5142,84
5,GreedyBestFirstManhattan,Manhattan,0.5694,0.82,400,76
5,breadthFirstSearch,N/A,17.7587,13.36,10770,70
4,depthFirstSearch,N/A,5.1637,3.27,2520,110
1,GreedyBestFirstManhattan,Manhattan,0.0914,0.21,140,18
1,ida_star_manhattan,Manhattan,1.1457,0.44,2322,20
1,mcts_manhattan,Manhattan,0.1026,0.02,258,22
1,breadthFirstSearch,N/A,0.4713,0.60,703,18
1,aStarManhattan,Manhattan,0.5060,0.62,701,18
1,depthFirstSearch,N/A,1.6976,1.10,1506,18
1,GreedyBestFirsthungarian,Hungarian,2.7313,10.44,45,18
1,ida_star_hungarian,Hungarian,1.1186,0.40,2138,20
1,mcts_hungarian,Hungarian,1.2744,0.02,3022,22
1,aStarHungarian,Hungarian,0.4836,0.64,655,18
1,breadthFirstSearch,N/A,0.4786,0.60,703,18
1,depthFirstSearch,N/A,1.7311,1.47,1506,18
2,GreedyBestFirstManhattan,Manhattan,0.0928,0.06,120,30
2,ida_star_manhattan,Manhattan,1.2679,0.08,1800,34
2,mcts_manhattan,Manhattan,6.0859,0.02,19293,42
2,breadthFirstSearch,N/A,0.1299,0.05,166,30
2,aStarManhattan,Manhattan,0.1311,0.05,160,30
2,depthFirstSearch,N/A,0.0897,0.04,107,30
2,GreedyBestFirsthungarian,Hungarian,0.0480,0.05,63,30
2,ida_star_hungarian,Hungarian,1.2148,0.08,1689,34
2,mcts_hungarian,Hungarian,7.0367,0.02,20938,36
2,breadthFirstSearch,N/A,0.1290,0.05,166,30
2,aStarHungarian,Hungarian,0.1253,0.05,155,30
2,depthFirstSearch,N/A,0.0911,0.04,107,30
3,GreedyBestFirstManhattan,Manhattan,11.8815,7.09,4617,99
2,ida_star_manhattan,Manhattan,1.3181,0.48,1800,34
3,aStarHungarian,Hungarian,145.1336,191.28,100455,40
4,GreedyBestFirstManhattan,Manhattan,1.4523,1.04,930,94
5,GreedyBestFirstManhattan,Manhattan,0.5694,0.82,400,76
5,mcts_manhattan,Manhattan,300.0085,0.42,602882,47
3,breadthFirstSearch,N/A,127.5328,167.34,93662,40
1,GreedyBestFirstManhattan,Manhattan,0.0346,0.12,57,18
1,ida_star_manhattan,Manhattan,1.3558,0.64,2322,20
1,mcts_manhattan,Manhattan,0.0145,0.01,21,20
1,mcts_hungarian,Hungarian,1.2451,10.55,342,20
1,GreedyBestFirsthungarian,Hungarian,0.0266,0.04,45,18
1,ida_star_hungarian,Hungarian,1.3106,0.33,2138,20
1,mcts_manhattan,Manhattan,0.1124,0.15,235,20
1,mcts_manhattan,Manhattan,0.1432,0.17,360,22
1,mcts_manhattan,Manhattan,0.2566,0.04,650,20
1,mcts_manhattan,Manhattan,0.4660,0.02,1088,20
1,mcts_manhattan,Manhattan,0.0767,0.02,143,20
1,mcts_manhattan,Manhattan,0.0534,0.02,136,20
1,mcts_manhattan,Manhattan,0.0674,0.02,154,22
1,mcts_manhattan,Manhattan,1.2416,0.03,2592,22
1,mcts_manhattan,Manhattan,0.0223,0.02,43,20
1,mcts_manhattan,Manhattan,0.2763,0.02,622,20
